date,record_version,minutes_covered,minutes_past_midnight,temperature_outside,temperature_outside_high,temperature_outside_low,temperature_inside,barometric_pressure,humidity_outside,humidity_inside,wind_speed,wind_speed_high,wind_direction_prevailing,wind_direction_speed_high,number_of_wind_samples,solar_radiation,solar_radiation_high,uv_index,uv_index_high,rain_amount,rain_rate,wind_direction_prevailing_degrees,wind_direction_speed_high_degrees,timestamp
2025-07-16 11:05:00,,5,665,24.72,24.78,24.72,26.89,1007.93,51.0,46.0,0.0,2.19,NNE,NNE,60,,,,,0.0,0.0,22.5,22.5,854590545
2025-07-16 11:10:00,,5,670,24.17,24.61,24.17,26.56,1007.72,49.0,44.0,0.0,2.24,ESE,N,117,,,,,0.0,0.0,112.5,360.0,854590550
2025-07-16 11:15:00,,5,675,23.67,24.17,23.67,26.22,1007.72,48.0,43.0,0.0,1.79,N,N,117,,,,,0.0,0.0,360.0,360.0,854590555
2025-07-16 11:20:00,,5,680,23.28,23.72,23.28,25.89,1007.62,48.0,42.0,0.0,1.34,N,N,117,,,,,0.0,0.0,360.0,360.0,854590560
2025-07-16 11:25:00,,5,685,22.94,23.28,22.94,25.67,1007.72,51.0,44.0,0.0,0.89,N,N,117,,,,,0.0,0.0,360.0,360.0,854590565
2025-07-16 11:30:00,,5,690,22.61,22.89,22.61,25.5,1007.89,51.0,44.0,0.0,0.45,N,N,117,,,,,0.0,0.0,360.0,360.0,854590570
2025-07-16 11:35:00,,5,695,22.33,22.61,22.33,25.33,1007.82,53.0,44.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590575
2025-07-16 11:40:00,,5,700,22.17,22.33,22.17,25.06,1007.72,53.0,45.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590580
2025-07-16 11:45:00,,5,705,22.0,22.17,22.0,24.83,1007.86,55.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590585
2025-07-16 11:50:00,,5,710,21.94,22.0,21.89,24.72,1007.93,58.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590590
2025-07-16 11:55:00,,5,715,21.94,21.94,21.89,24.83,1007.93,59.0,49.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590595
2025-07-16 12:00:00,,5,720,21.89,21.89,21.89,24.78,1007.93,56.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590640
2025-07-16 12:05:00,,5,725,21.78,21.89,21.78,24.72,1007.89,56.0,48.0,0.0,1.34,N,N,117,,,,,0.0,0.0,360.0,360.0,854590645
2025-07-16 12:10:00,,5,730,21.67,21.78,21.67,24.67,1007.96,55.0,47.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590650
2025-07-16 12:15:00,,5,735,21.5,21.67,21.5,24.56,1007.93,55.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590655
2025-07-16 12:20:00,,5,740,21.39,21.5,21.39,24.56,1007.89,57.0,48.0,0.0,2.24,N,N,117,,,,,0.0,0.0,360.0,360.0,854590660
2025-07-16 12:25:00,,5,745,21.28,21.39,21.28,24.5,1007.82,56.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590665
2025-07-16 12:30:00,,5,750,21.28,21.33,21.28,24.44,1007.93,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590670
2025-07-16 12:35:00,,5,755,21.28,21.28,21.28,24.56,1008.06,58.0,48.0,0.0,2.68,N,N,117,,,,,0.0,0.0,360.0,360.0,854590675
2025-07-16 12:40:00,,5,760,21.22,21.28,21.22,24.5,1007.96,58.0,47.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590680
2025-07-16 12:45:00,,5,765,21.28,21.28,21.22,24.56,1008.06,59.0,50.0,0.0,2.24,NNW,NNW,117,,,,,0.0,0.0,337.5,337.5,854590685
2025-07-16 12:50:00,,5,770,21.17,21.28,21.17,24.67,1008.06,57.0,47.0,0.0,0.89,SW,SW,117,,,,,0.0,0.0,225.0,225.0,854590690
2025-07-16 12:55:00,,5,775,21.11,21.17,21.11,24.5,1008.23,58.0,47.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590695
2025-07-16 13:00:00,,5,780,21.11,21.11,21.11,24.44,1008.2,58.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590740
2025-07-16 13:05:00,,5,785,21.06,21.11,21.06,24.28,1008.33,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590745
2025-07-16 13:10:00,,5,790,21.06,21.11,21.06,24.17,1008.26,61.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590750
2025-07-16 13:15:00,,5,795,21.06,21.11,21.06,24.11,1008.16,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590755
2025-07-16 13:20:00,,5,800,21.0,21.06,21.0,24.0,1008.26,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590760
2025-07-16 13:25:00,,5,805,21.06,21.06,21.0,23.94,1008.23,61.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590765
2025-07-16 13:30:00,,5,810,21.06,21.06,21.0,23.94,1008.26,58.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590770
2025-07-16 13:35:00,,5,815,21.0,21.06,21.0,23.83,1008.26,58.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590775
2025-07-16 13:40:00,,5,820,20.94,21.0,20.94,23.78,1008.23,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590780
2025-07-16 13:45:00,,5,825,20.94,21.0,20.94,23.72,1008.13,60.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590785
2025-07-16 13:50:00,,5,830,20.94,21.0,20.94,23.72,1008.3,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590790
2025-07-16 13:55:00,,5,835,21.0,21.0,20.94,23.83,1008.26,64.0,52.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590795
2025-07-16 14:00:00,,5,840,21.17,21.17,21.0,24.06,1008.26,66.0,54.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590840
2025-07-16 14:05:00,,5,845,21.44,21.44,21.17,24.33,1008.16,63.0,53.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590845
2025-07-16 14:10:00,,5,850,21.67,21.67,21.44,24.5,1008.09,65.0,53.0,0.0,1.79,ESE,ESE,117,,,,,0.0,0.0,112.5,112.5,854590850
2025-07-16 14:15:00,,5,855,21.89,21.89,21.67,24.61,1007.99,65.0,55.0,0.0,1.34,ESE,ESE,117,,,,,0.0,0.0,112.5,112.5,854590855
2025-07-16 14:20:00,,5,860,22.06,22.06,21.89,24.78,1007.72,63.0,52.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590860
2025-07-16 14:25:00,,5,865,22.11,22.11,22.06,24.83,1007.69,65.0,54.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590865
2025-07-16 14:30:00,,5,870,22.28,22.28,22.11,24.89,1007.62,61.0,53.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590870
2025-07-16 14:35:00,,5,875,22.33,22.33,22.28,24.94,1007.55,66.0,54.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590875
2025-07-16 14:40:00,,5,880,22.44,22.44,22.33,25.0,1007.62,63.0,54.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590880
2025-07-16 14:45:00,,5,885,22.5,22.5,22.39,25.0,1007.59,68.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590885
2025-07-16 14:50:00,,5,890,22.56,22.56,22.44,25.06,1007.55,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590890
2025-07-16 14:55:00,,5,895,22.56,22.56,22.56,25.06,1007.45,66.0,55.0,0.0,2.24,SE,SE,117,,,,,0.0,0.0,135.0,135.0,854590895
2025-07-16 15:00:00,,5,900,22.56,22.61,22.5,25.06,1007.62,69.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590940
2025-07-16 15:05:00,,5,905,22.61,22.61,22.56,25.17,1007.62,65.0,56.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590945
2025-07-16 15:10:00,,5,910,22.67,22.67,22.61,25.11,1007.55,68.0,58.0,0.0,2.24,SE,SE,117,,,,,0.0,0.0,135.0,135.0,854590950
2025-07-16 15:15:00,,5,915,22.61,22.67,22.61,25.17,1007.42,65.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590955
2025-07-16 15:20:00,,5,920,22.61,22.67,22.61,25.17,1007.35,69.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590960
2025-07-16 15:25:00,,5,925,22.72,22.72,22.61,25.22,1007.42,66.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590965
2025-07-16 15:30:00,,5,930,22.67,22.72,22.67,25.28,1007.28,65.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590970
2025-07-16 15:35:00,,5,935,22.67,22.67,22.67,25.22,1007.42,68.0,57.0,0.0,4.02,ESE,ESE,117,,,,,0.0,0.0,112.5,112.5,854590975
2025-07-16 15:40:00,,5,940,22.67,22.72,22.67,25.28,1007.55,66.0,57.0,0.0,4.02,NONE,ESE,117,,,,,0.0,0.0,,112.5,854590980
2025-07-16 15:45:00,,5,945,22.67,22.72,22.67,25.22,1007.65,68.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590985
2025-07-16 15:50:00,,5,950,22.72,22.72,22.67,25.22,1008.06,67.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590990
2025-07-16 15:55:00,,5,955,22.72,22.72,22.67,25.28,1008.3,67.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590995
2025-07-16 16:00:00,,5,960,22.78,22.78,22.67,25.33,1008.7,70.0,58.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854591040
2025-07-16 16:05:00,,5,965,22.72,22.78,22.72,25.33,1008.67,64.0,55.0,0.0,3.58,ESE,ESE,117,,,,,0.0,0.0,112.5,112.5,854591045
2025-07-16 16:10:00,,5,970,22.67,22.72,22.67,25.28,1008.33,67.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591050
2025-07-16 16:15:00,,5,975,22.67,22.67,22.67,25.22,1008.26,69.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591055
2025-07-16 16:20:00,,5,980,22.67,22.72,22.67,25.28,1008.13,66.0,56.0,0.0,3.13,ESE,ESE,117,,,,,0.0,0.0,112.5,112.5,854591060
2025-07-16 16:25:00,,5,985,22.67,22.72,22.67,25.17,1008.06,69.0,58.0,0.0,2.24,NNE,WNW,117,,,,,0.0,0.0,22.5,292.5,854591065
2025-07-16 16:30:00,,5,990,22.72,22.72,22.72,25.22,1008.06,65.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591070
2025-07-16 16:35:00,,5,995,22.67,22.72,22.67,25.17,1008.23,68.0,57.0,0.0,3.13,WNW,WNW,117,,,,,0.0,0.0,292.5,292.5,854591075
2025-07-16 16:40:00,,5,1000,22.72,22.72,22.67,25.17,1008.16,68.0,59.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591080
2025-07-16 16:45:00,,5,1005,22.72,22.78,22.67,25.11,1008.06,67.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591085
2025-07-16 16:50:00,,5,1010,22.72,22.72,22.67,25.06,1007.99,66.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591090
2025-07-16 16:55:00,,5,1015,22.67,22.72,22.67,25.0,1007.93,67.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591095
2025-07-16 17:00:00,,5,1020,22.67,22.72,22.67,24.94,1007.79,70.0,59.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591140
2025-07-16 17:05:00,,5,1025,22.67,22.72,22.67,24.94,1007.38,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591145
2025-07-16 17:10:00,,5,1030,22.61,22.72,22.61,24.89,1007.15,66.0,57.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854591150
2025-07-16 17:15:00,,5,1035,22.61,22.61,22.61,24.83,1006.88,69.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591155
2025-07-16 17:20:00,,5,1040,22.61,22.61,22.61,24.83,1006.91,66.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591160
2025-07-16 17:25:00,,5,1045,22.67,22.67,22.61,24.94,1006.77,68.0,59.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591165
2025-07-16 17:30:00,,5,1050,22.67,22.72,22.61,24.94,1006.94,66.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591170
2025-07-16 17:35:00,,5,1055,22.78,22.78,22.67,25.0,1006.88,68.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591175
2025-07-16 17:40:00,,5,1060,22.89,22.89,22.78,25.11,1006.57,67.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591180
2025-07-16 17:45:00,,5,1065,23.06,23.06,22.89,25.17,1006.2,65.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591185
2025-07-16 17:50:00,,5,1070,23.22,23.22,23.06,25.22,1006.4,67.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591190
2025-07-16 17:55:00,,5,1075,23.33,23.33,23.22,25.28,1006.4,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591195
2025-07-16 18:00:00,,5,1080,23.39,23.44,23.33,25.33,1006.3,65.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591240
2025-07-16 18:05:00,,5,1085,23.56,23.56,23.39,25.33,1006.3,67.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591245
2025-07-16 18:10:00,,5,1090,23.72,23.72,23.56,25.39,1006.1,62.0,56.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854591250
2025-07-16 18:15:00,,5,1095,23.94,23.94,23.78,25.33,1005.99,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591255
2025-07-16 18:20:00,,5,1100,24.06,24.06,23.94,25.39,1005.96,66.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591260
2025-07-16 18:25:00,,5,1105,24.06,24.06,24.0,25.39,1006.03,62.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591265
2025-07-16 18:30:00,,5,1110,23.94,24.06,23.94,25.39,1006.3,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591270
2025-07-16 18:35:00,,5,1115,23.94,24.0,23.94,25.39,1006.16,66.0,59.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591275
2025-07-16 18:40:00,,5,1120,23.89,23.94,23.89,25.44,1006.3,63.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591280
2025-07-16 18:45:00,,5,1125,23.83,23.89,23.83,25.44,1006.1,66.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591285
2025-07-16 18:50:00,,5,1130,23.83,23.89,23.83,25.44,1006.3,65.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591290
2025-07-16 18:55:00,,5,1135,23.83,23.83,23.78,25.44,1006.33,62.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591295
2025-07-16 19:00:00,,5,1140,23.78,23.83,23.78,25.39,1006.67,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591340
2025-07-16 19:05:00,,5,1145,23.78,23.83,23.78,25.44,1006.71,65.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591345
2025-07-16 19:10:00,,5,1150,23.72,23.78,23.72,25.44,1006.67,62.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591350
2025-07-16 19:15:00,,5,1155,23.72,23.78,23.72,25.44,1006.6,65.0,57.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854591355
2025-07-16 19:20:00,,5,1160,23.72,23.78,23.67,25.44,1006.47,64.0,58.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591360
2025-07-16 19:25:00,,5,1165,23.72,23.78,23.67,25.44,1006.5,62.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591365
2025-07-16 19:30:00,,5,1170,23.67,23.72,23.67,25.39,1006.47,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591370
2025-07-16 19:35:00,,5,1175,23.72,23.72,23.67,25.44,1006.74,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591375
2025-07-16 19:40:00,,5,1180,23.72,23.72,23.67,25.5,1006.6,61.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591380
2025-07-16 19:45:00,,5,1185,23.67,23.72,23.67,25.44,1006.81,65.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591385
2025-07-16 19:50:00,,5,1190,23.72,23.72,23.67,25.44,1006.98,64.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591390
2025-07-16 19:55:00,,5,1195,23.67,23.72,23.67,25.44,1006.71,62.0,55.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591395
2025-07-16 20:00:00,,5,1200,23.67,23.67,23.67,25.44,1006.77,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591440
2025-07-16 20:05:00,,5,1205,23.72,23.72,23.67,25.44,1006.6,65.0,57.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591445
2025-07-16 20:10:00,,5,1210,23.67,23.67,23.67,25.44,1006.67,63.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591450
2025-07-16 20:15:00,,5,1215,23.67,23.72,23.67,25.44,1006.64,64.0,56.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854591455
2025-07-16 20:20:00,,5,1220,23.78,23.78,23.67,25.56,1006.67,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591460
2025-07-16 20:25:00,,5,1225,23.78,23.83,23.72,25.72,1006.81,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591465
2025-07-16 20:30:00,,5,1230,23.89,23.89,23.78,25.83,1007.01,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591470
2025-07-16 20:35:00,,5,1235,23.94,23.94,23.83,25.94,1007.15,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591475
2025-07-16 20:40:00,,5,1240,24.06,24.06,23.94,26.06,1007.28,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591480
2025-07-16 20:45:00,,5,1245,24.11,24.11,24.06,26.11,1007.04,64.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591485
2025-07-16 20:50:00,,5,1250,24.22,24.22,24.11,26.22,1007.01,63.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591490
2025-07-16 20:55:00,,5,1255,24.28,24.28,24.22,26.28,1007.18,63.0,56.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854591495
